miscellaneous,"갖가지의, 잡다한, 잡동사니의",st22E
Act of Parliament,"의회 제정법, 법령",st22E
eel,뱀장어,st22E
demolish,"철거하다, 무너뜨리다",st22E
inland,내륙의,st22E
turnover,"총매출액, 거래액, 매출",st22E
resorting to,"<remove -ing> ~에 기대다, ~에 의존하다",st22E
exquisitely,"극히, 정교하게",st22E
coherence,일관성,st22E
fair,상당한,st22E
disorder,장애,st22E
not to mention,언급할 필요도 없을 정도로 (당연한),st22E
low profile,"남의 눈에 띄지 않는 태도, 낮은 자세",st22E
inability,"무능, 능력 없음",st22E
in seeking,<mod to in -ing> ~할 때,st22E
showing off,<remove -ing> ~을 과시하다,st22E
reform,"개정, 개혁",st22E
pulmmet,급락하다,st22E
few and far between,"흔치 않은, 드문",st22E
momentarily,"잠깐, 순간적으로",st22E
prosperity,번영,st22E
go out of business,폐업하다,st22E
dwell on,"~에 대해 오래 생각하다, 곰곰히 생각하다",st22E
set in,시작되다,st22E
soar,"급등하다, 치솟다",st22E
lag,"지체되다, 처지다, 뒤떨어지다",st22E
dry up,"고갈되다, 줄어들다",st22E
raise a glass to,~을 위해 축배를 들다,st22E
revenue,수입,st22E
